method,hr_mae,pulse_snr,pulse_cor,rr_mae,resp_snr,resp_cor
G,10.087834803497907,-3.5232535025890064,0.08314889718528289,0.0,0.0,0.0
CHROM,5.184493803606818,0.48478767952133506,0.32671850649955436,0.0,0.0,0.0
POS,2.2443485127432874,5.973038016653952,0.1007668282232118,0.0,0.0,0.0
VitalLens,0.7077107974109269,11.018533710859652,0.7456786230652699,0.7624069768817882,7.851042020004585,0.8924095442410327
